Company Name,Sector,ESG Score
ABLE GLOBAL BERHAD,CONSUMER PRODUCTS & SERVICES,50
ABLEGROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
ABM FUJIYA BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
ACME HOLDINGS BERHAD,PROPERTY,50
ADVANCE SYNERGY BHD,CONSUMER PRODUCTS & SERVICES,75
ADVANCECON HOLDINGS BERHAD,CONSTRUCTION,75
ADVENTA BHD,HEALTH CARE,50
AE MULTI HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,50
AEON CO. (M) BHD,CONSUMER PRODUCTS & SERVICES,100
AEON CREDIT SERVICE (M) BHD,FINANCIAL SERVICES,75
AFFIN BANK BERHAD,FINANCIAL SERVICES,75
AHB HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
AHMAD ZAKI RESOURCES BHD,CONSTRUCTION,75
AIRASIA X BERHAD,CONSUMER PRODUCTS & SERVICES,75
AIZO GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
AJINOMOTO (M) BHD,CONSUMER PRODUCTS & SERVICES,75
AJIYA BHD,INDUSTRIAL PRODUCTS & SERVICES,50
ALAM MARITIM RESOURCES BHD,ENERGY,75
AL-AQAR HEALTHCARE REIT,REAL ESTATE INVESTMENT TRUSTS,50
ALCOM GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
ALLIANCE BANK MALAYSIA BERHAD,FINANCIAL SERVICES,100
ALLIANZ MALAYSIA BHD,FINANCIAL SERVICES,100
AL-SALAM REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS,75
AMANAHRAYA REITS,REAL ESTATE INVESTMENT TRUSTS,75
AME ELITE CONSORTIUM BERHAD,CONSTRUCTION,75
AME REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS,50
AMFIRST REITS,REAL ESTATE INVESTMENT TRUSTS,75
AMMB HOLDINGS BHD,FINANCIAL SERVICES,100
AMTEL HOLDINGS BHD,TELECOMMUNICATIONS & MEDIA,50
AMWAY (M) HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
ANALABS RESOURCES BHD,INDUSTRIAL PRODUCTS & SERVICES,50
ANCOM NYLEX BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
ANN JOO RESOURCES BHD,INDUSTRIAL PRODUCTS & SERVICES,75
ANNUM BERHAD,INDUSTRIAL PRODUCTS & SERVICES,25
APB RESOURCES BHD,INDUSTRIAL PRODUCTS & SERVICES,75
APEX EQUITY HOLDINGS BHD,FINANCIAL SERVICES,75
APEX HEALTHCARE BHD,HEALTH CARE,75
APM AUTOMOTIVE HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,75
APOLLO FOOD HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
A-RANK BHD,INDUSTRIAL PRODUCTS & SERVICES,75
ARB BERHAD,TECHNOLOGY,50
ARK RESOURCES HOLDINGS BERHAD,PROPERTY,50
ARKA BERHAD,TRANSPORTATION & LOGISTICS,50
ASIA BRANDS BERHAD,CONSUMER PRODUCTS & SERVICES,50
ASIA FILE CORPORATION BHD,CONSUMER PRODUCTS & SERVICES,75
ASIAN PAC HOLDINGS BHD,PROPERTY,50
ASTEEL GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
ASTINO BHD,INDUSTRIAL PRODUCTS & SERVICES,75
ASTRAL ASIA BHD,PLANTATION,50
ASTRO MALAYSIA HOLDINGS BERHAD,TELECOMMUNICATIONS & MEDIA,100
ATA IMS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
ATLAN HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,75
ATRIUM REITS,REAL ESTATE INVESTMENT TRUSTS,50
AURELIUS TECHNOLOGIES BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
AURO HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
AVALAND BERHAD,PROPERTY,100
AVANGAAD BERHAD,TRANSPORTATION & LOGISTICS,75
AVILLION BERHAD,CONSUMER PRODUCTS & SERVICES,50
AWANBIRU TECHNOLOGY BERHAD,TECHNOLOGY,100
AWC BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
AXIATA GROUP BERHAD,TELECOMMUNICATIONS & MEDIA,75
AXIS REITS,REAL ESTATE INVESTMENT TRUSTS,100
AXTERIA GROUP BERHAD,PROPERTY,50
AYER HOLDINGS BERHAD,PROPERTY,50
AYS VENTURES BHD,INDUSTRIAL PRODUCTS & SERVICES,75
B.I.G. INDUSTRIES BHD,INDUSTRIAL PRODUCTS & SERVICES,50
BANK ISLAM MALAYSIA BERHAD,FINANCIAL SERVICES,75
BATU KAWAN BHD,PLANTATION,75
BCB BHD,PROPERTY,50
BENALEC HOLDINGS BERHAD,CONSTRUCTION,50
BERJAYA ASSETS BERHAD,PROPERTY,75
BERJAYA CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,75
BERJAYA FOOD BERHAD,CONSUMER PRODUCTS & SERVICES,100
BERJAYA LAND BHD,CONSUMER PRODUCTS & SERVICES,75
BERMAZ AUTO BERHAD,CONSUMER PRODUCTS & SERVICES,100
BERTAM ALLIANCE BHD,PROPERTY,50
BESHOM HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES,75
BINA DARULAMAN BHD,PROPERTY,75
BINA PURI HOLDINGS BHD,CONSTRUCTION,50
BINASTRA CORPORATION BERHAD,CONSTRUCTION,75
BINTAI KINDEN CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,50
BINTULU PORT HOLDINGS BHD,TRANSPORTATION & LOGISTICS,75
BLD PLANTATION BHD,PLANTATION,50
BM GREENTECH BERHAD,ENERGY,75
BONIA CORPORATION BHD,CONSUMER PRODUCTS & SERVICES,50
BORNEO OIL BHD,INDUSTRIAL PRODUCTS & SERVICES,50
BOUSTEAD HEAVY INDUSTRIES CORP,TRANSPORTATION & LOGISTICS,75
BOX-PAK (MALAYSIA) BHD,INDUSTRIAL PRODUCTS & SERVICES,75
BP PLASTICS HOLDING BHD,INDUSTRIAL PRODUCTS & SERVICES,75
BRIGHT PACKAGING INDUSTRY BHD,INDUSTRIAL PRODUCTS & SERVICES,75
BRITISH AMERICAN TOBACCO (M),CONSUMER PRODUCTS & SERVICES,100
BSL CORPORATION BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
BTM RESOURCES BHD,INDUSTRIAL PRODUCTS & SERVICES,50
BUMI ARMADA BERHAD,ENERGY,100
BURSA MALAYSIA BHD,FINANCIAL SERVICES,100
C.I. HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,75
CAB CAKARAN CORPORATION BHD,CONSUMER PRODUCTS & SERVICES,50
CAHYA MATA SARAWAK BHD,INDUSTRIAL PRODUCTS & SERVICES,75
CAM RESOURCES BHD,CONSUMER PRODUCTS & SERVICES,50
CAN-ONE BHD,INDUSTRIAL PRODUCTS & SERVICES,75
CAPE EMS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
CAPITAL A BERHAD,CONSUMER PRODUCTS & SERVICES,75
CAPITALAND MALAYSIA TRUST,REAL ESTATE INVESTMENT TRUSTS,100
CAREPLUS GROUP BERHAD,HEALTH CARE,75
CARIMIN PETROLEUM BERHAD,ENERGY,75
CARLSBERG BREWERY MALAYSIA BHD,CONSUMER PRODUCTS & SERVICES,75
CB INDUSTRIAL PRODUCT HOLDING,INDUSTRIAL PRODUCTS & SERVICES,50
CCK CONSOLIDATED HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
CELCOMDIGI BERHAD,TELECOMMUNICATIONS & MEDIA,100
CENSOF HOLDINGS BERHAD,TECHNOLOGY,75
CENTRAL GLOBAL BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
CEPATWAWASAN GROUP BHD,PLANTATION,50
CHEETAH HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
CHIN HIN GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
CHIN HIN GROUP PROPERTY BERHAD,TRANSPORTATION & LOGISTICS,50
CHIN TECK PLANTATIONS BHD,PLANTATION,50
CHIN WELL HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,50
CHINA OUHUA WINERY HLDGS LTD,CONSUMER PRODUCTS & SERVICES,50
CHOO BEE METAL INDUSTRIES BHD,INDUSTRIAL PRODUCTS & SERVICES,75
CHUAN HUAT RESOURCES BHD,INDUSTRIAL PRODUCTS & SERVICES,50
CIMB GROUP HOLDINGS BERHAD,FINANCIAL SERVICES,100
CITAGLOBAL BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
CITRA NUSA HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES,50
CJ CENTURY LOGISTICS HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS,75
CLASSITA HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES,75
CME GROUP BHD,INDUSTRIAL PRODUCTS & SERVICES,50
CN ASIA CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,75
CNERGENZ BERHAD,TECHNOLOGY,50
COASTAL CONTRACTS BHD,ENERGY,50
COMFORT GLOVES BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
COMPUGATES HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,50
COMPUTER FORMS (M) BHD,INDUSTRIAL PRODUCTS & SERVICES,50
CONCRETE ENGINEERING PRODUCTS,INDUSTRIAL PRODUCTS & SERVICES,75
COUNTRY HEIGHTS HOLDINGS BHD,PROPERTY,50
COUNTRY VIEW BHD,PROPERTY,50
CPE TECHNOLOGY BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
CRESCENDO CORPORATION BHD,PROPERTY,50
CREST BUILDER HOLDINGS BHD,CONSTRUCTION,50
CSC STEEL HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
CTOS DIGITAL BERHAD,TECHNOLOGY,75
CUSCAPI BHD,TECHNOLOGY,50
CWG HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES,75
CYBERJAYA EDUCATION GROUP BERHAD,CONSUMER PRODUCTS & SERVICES,75
CYL CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,50
CYPARK RESOURCES BERHAD,ENERGY,75
D & O GREEN TECHNOLOGIES BERHAD,TECHNOLOGY,75
DAGANG NEXCHANGE BERHAD,TECHNOLOGY,75
DANCOMECH HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
DATAPREP HOLDINGS BHD,TECHNOLOGY,50
DAYANG ENTERPRISE HOLDINGS BHD,ENERGY,75
DELEUM BHD,ENERGY,100
DESTINI BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
DFCITY GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
DIALOG GROUP BHD,ENERGY,75
DIGISTAR CORPORATION BHD,TECHNOLOGY,75
DKLS INDUSTRIES BHD,CONSTRUCTION,50
DKSH HOLDINGS(M)BHD,CONSUMER PRODUCTS & SERVICES,100
DNONCE TECHNOLOGY BHD,INDUSTRIAL PRODUCTS & SERVICES,50
DOMINANT ENTERPRISE BHD,INDUSTRIAL PRODUCTS & SERVICES,50
DPS RESOURCES BHD,PROPERTY,50
DRB-HICOM BHD,CONSUMER PRODUCTS & SERVICES,75
DS SIGMA HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
DUFU TECHNOLOGY CORP. BHD,INDUSTRIAL PRODUCTS & SERVICES,100
DUOPHARMA BIOTECH BERHAD,HEALTH CARE,100
DUTALAND BHD,PLANTATION,75
DUTCH LADY MILK INDUSTRIES BHD,CONSUMER PRODUCTS & SERVICES,100
DXN HOLDINGS BHD.,CONSUMER PRODUCTS & SERVICES,75
EASTERN & ORIENTAL BHD,PROPERTY,75
ECM LIBRA GROUP BERHAD,FINANCIAL SERVICES,50
ECO WORLD DEVELOPMENT GROUP BERHAD,PROPERTY,100
ECO WORLD INTERNATIONAL BERHAD,PROPERTY,100
ECOBUILT HOLDINGS BERHAD,TELECOMMUNICATIONS & MEDIA,50
ECOFIRST CONSOLIDATED BHD,PROPERTY,75
ECOMATE HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES,75
ECONPILE HOLDINGS BHD,CONSTRUCTION,50
EDARAN BHD,TECHNOLOGY,50
EDEN INC. BHD,UTILITIES,50
EFFICIENT E-SOLUTIONS BHD,INDUSTRIAL PRODUCTS & SERVICES,50
EG INDUSTRIES BHD,INDUSTRIAL PRODUCTS & SERVICES,75
EITA RESOURCES BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
EKOVEST BHD,CONSTRUCTION,50
EKSONS CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,50
ELK-DESA RESOURCES BERHAD,FINANCIAL SERVICES,50
ELSOFT RESEARCH BHD,TECHNOLOGY,75
EMICO HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
ENCORP BHD,PROPERTY,50
ENG KAH CORPORATION BHD,CONSUMER PRODUCTS & SERVICES,50
ENGTEX GROUP BHD,INDUSTRIAL PRODUCTS & SERVICES,50
ENRA GROUP BERHAD,ENERGY,75
EONMETALL GROUP BHD,INDUSTRIAL PRODUCTS & SERVICES,50
EP MANUFACTURING BHD,INDUSTRIAL PRODUCTS & SERVICES,50
EPICON BERHAD,CONSTRUCTION,50
ESTHETICS INTERNATIONAL GROUP,CONSUMER PRODUCTS & SERVICES,50
EUPE CORPORATION BHD,PROPERTY,50
EURO HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
EUROSPAN HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,75
EVERGREEN FIBREBOARD BHD,INDUSTRIAL PRODUCTS & SERVICES,75
EVERSENDAI CORPORATION BERHAD,CONSTRUCTION,50
EXCEL FORCE MSC BHD,TECHNOLOGY,75
EXSIM HOSPITALITY BERHAD,CONSUMER PRODUCTS & SERVICES,50
FACB INDUSTRIES INCORPORATED,INDUSTRIAL PRODUCTS & SERVICES,75
FAJARBARU BUILDER GRP BHD,CONSTRUCTION,75
FAR EAST HOLDINGS BHD,PLANTATION,50
FARLIM GROUP (M) BHD,PROPERTY,50
FARM FRESH BERHAD,CONSUMER PRODUCTS & SERVICES,75
FAVELLE FAVCO BHD,INDUSTRIAL PRODUCTS & SERVICES,50
FCW HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
FEDERAL INTERNATIONAL HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES,50
FGV HOLDINGS BERHAD,PLANTATION,75
FIAMMA HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
FIBON BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
FIMA CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,50
FITTERS DIVERSIFIED BHD,INDUSTRIAL PRODUCTS & SERVICES,50
FM GLOBAL LOGISTICS HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS,75
FOCUS LUMBER BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
FOCUS POINT HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES,75
FORMOSA PROSONIC INDUSTRIES,CONSUMER PRODUCTS & SERVICES,50
FOUNDPAC GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
FRASER & NEAVE HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,100
FRONTKEN CORPORATION BHD,TECHNOLOGY,100
FSBM HOLDINGS BHD,TECHNOLOGY,50
G CAPITAL BERHAD,TRANSPORTATION & LOGISTICS,50
G3 GLOBAL BERHAD,CONSUMER PRODUCTS & SERVICES,75
GABUNGAN AQRS BERHAD,CONSTRUCTION,75
GADANG HOLDINGS BHD,CONSTRUCTION,50
GAMUDA BHD,CONSTRUCTION,75
GAS MALAYSIA BERHAD,UTILITIES,75
GDB HOLDINGS BERHAD,CONSTRUCTION,75
GDEX BERHAD,TRANSPORTATION & LOGISTICS,75
GENETEC TECHNOLOGY BERHAD,TECHNOLOGY,75
GENTING BHD,CONSUMER PRODUCTS & SERVICES,75
GENTING MALAYSIA BERHAD,CONSUMER PRODUCTS & SERVICES,100
GENTING PLANTATIONS BERHAD,PLANTATION,75
GEORGE KENT (M) BHD,CONSTRUCTION,100
GE-SHEN CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,75
GFM SERVICES BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
GIIB HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
GLOBAL ORIENTAL BERHAD,PROPERTY,50
GLOBALTEC FORMATION BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
GLOBETRONICS TECHNOLOGY BHD,TECHNOLOGY,75
GLOMAC BHD,PROPERTY,50
GOLDEN LAND BERHAD,PLANTATION,50
GOLDEN PHAROS BHD,INDUSTRIAL PRODUCTS & SERVICES,75
GOPENG BHD,PLANTATION,50
GRAND CENTRAL ENTERPRISES BHD,CONSUMER PRODUCTS & SERVICES,50
GREATECH TECHNOLOGY BERHAD,TECHNOLOGY,100
GREATER BAY HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
GREEN PACKET BHD,TELECOMMUNICATIONS & MEDIA,75
GREENYIELD BHD,CONSUMER PRODUCTS & SERVICES,50
GROMUTUAL BHD,PROPERTY,50
GUAN CHONG BHD,CONSUMER PRODUCTS & SERVICES,75
GUH HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,50
GUOCOLAND (MALAYSIA) BHD,PROPERTY,50
HANDAL ENERGY BERHAD,ENERGY,50
HAP SENG CONSOLIDATED BHD,INDUSTRIAL PRODUCTS & SERVICES,75
HAP SENG PLANTATIONS HOLDINGS,PLANTATION,75
HARBOUR-LINK GROUP BHD,TRANSPORTATION & LOGISTICS,75
HARN LEN CORPORATION BHD,PLANTATION,50
HARRISONS HOLDINGS (M) BHD,CONSUMER PRODUCTS & SERVICES,50
HARTALEGA HOLDINGS BHD,HEALTH CARE,100
